Timestamp,Vehicle_Count,Temperature,Rainfall_mm,Avg_GPS_Speed,Attendance,Hour,DayOfWeek,IsWeekend,Sensor_ID_Sensor_2,Sensor_ID_Sensor_3,Sensor_ID_Sensor_4,Sensor_ID_Sensor_5,Weather_Condition_Cloudy,Weather_Condition_Rainy,Event_Name_Festival,Event_Name_No Event,Event_Name_Public Holiday,Event_Name_Sports Game
2024-01-01 00:00:00,140,-0.7481803970664789,-0.2291338892235263,-1.2699631899793151,-0.19277224050336497,0,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 01:00:00,63,-1.0896529363836809,-0.2291338892235263,0.0,-0.19277224050336497,1,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 02:00:00,95,-1.3081953615466901,-0.2291338892235263,0.0,-0.19277224050336497,2,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 03:00:00,79,-1.4038076725555066,-0.2291338892235263,0.0,-0.19277224050336497,3,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 04:00:00,24,-1.8408925228815256,-0.2291338892235263,-1.0297423482826282,-0.19277224050336497,4,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 05:00:00,107,-1.8408925228815256,-0.2291338892235263,0.0,-0.19277224050336497,5,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 06:00:00,119,-0.11987092472282702,-0.2291338892235263,0.0,-0.19277224050336497,6,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 07:00:00,511,-0.10621202315013875,-0.2291338892235263,0.0,-0.19277224050336497,7,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 08:00:00,568,-0.05157641685938661,-0.2291338892235263,-2.9330305555717677,-0.19277224050336497,8,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 09:00:00,460,-0.11987092472282702,-0.2291338892235263,0.0,-0.19277224050336497,9,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 10:00:00,318,0.5494152523388894,-0.2291338892235263,0.0,-0.19277224050336497,10,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 11:00:00,272,-0.10621202315013875,-0.2291338892235263,0.0,-0.19277224050336497,11,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 12:00:00,312,-0.7481803970664789,-0.2291338892235263,-2.36019624075659,-0.19277224050336497,12,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 13:00:00,299,-0.4067078577492765,-0.2291338892235263,0.0,-0.19277224050336497,13,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 14:00:00,280,0.18062490987631072,-0.2291338892235263,0.0,-0.19277224050336497,14,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 15:00:00,264,0.2625783193124394,-0.2291338892235263,0.0,-0.19277224050336497,15,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 16:00:00,370,-0.29743664516777224,-0.2291338892235263,1.076809648134475,-0.19277224050336497,16,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 17:00:00,555,-0.010599712141322258,-0.2291338892235263,0.0,-0.19277224050336497,17,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 18:00:00,484,-0.3930489561765887,-0.2291338892235263,0.0,-0.19277224050336497,18,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 19:00:00,17,-0.05157641685938661,-0.2291338892235263,0.0,-0.19277224050336497,19,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 20:00:00,0,-0.3930489561765887,-0.2291338892235263,4.365987326750659,-0.19277224050336497,20,0,0,False,False,False,False,False,False,False,True,False,False
2024-01-01 21:00:00,47,-0.21548323573164352,-0.2291338892235263,0.0,-0.19277224050336497,21,0,0,False,False,False,False,False,False,False,True,False,False
