Timestamp,Sensor_ID,Vehicle_Count
2024-01-01 00:00:00,Sensor_1,140
2024-01-01 01:00:00,Sensor_1,63
2024-01-01 02:00:00,Sensor_1,95
2024-01-01 03:00:00,Sensor_1,79
2024-01-01 04:00:00,Sensor_1,24
2024-01-01 05:00:00,Sensor_1,107
2024-01-01 06:00:00,Sensor_1,119
2024-01-01 07:00:00,Sensor_1,511
2024-01-01 08:00:00,Sensor_1,568
2024-01-01 09:00:00,Sensor_1,460
2024-01-01 10:00:00,Sensor_1,318
2024-01-01 11:00:00,Sensor_1,272
2024-01-01 12:00:00,Sensor_1,312
2024-01-01 13:00:00,Sensor_1,299
2024-01-01 14:00:00,Sensor_1,280
2024-01-01 15:00:00,Sensor_1,264
2024-01-01 16:00:00,Sensor_1,370
2024-01-01 17:00:00,Sensor_1,555
2024-01-01 18:00:00,Sensor_1,484
2024-01-01 19:00:00,Sensor_1,17
2024-01-01 20:00:00,Sensor_1,0
2024-01-01 21:00:00,Sensor_1,47
2024-01-01 22:00:00,Sensor_1,116
2024-01-01 23:00:00,Sensor_1,89
2024-01-02 00:00:00,Sensor_1,66
2024-01-02 01:00:00,Sensor_1,51
2024-01-02 02:00:00,Sensor_1,69
2024-01-02 03:00:00,Sensor_1,0
2024-01-02 04:00:00,Sensor_1,126
2024-01-02 05:00:00,Sensor_1,42
2024-01-02 06:00:00,Sensor_1,47
2024-01-02 07:00:00,Sensor_1,421
2024-01-02 08:00:00,Sensor_1,442
2024-01-02 09:00:00,Sensor_1,538
2024-01-02 10:00:00,Sensor_1,370
2024-01-02 11:00:00,Sensor_1,265
2024-01-02 12:00:00,Sensor_1,275
2024-01-02 13:00:00,Sensor_1,302
2024-01-02 14:00:00,Sensor_1,255
2024-01-02 15:00:00,Sensor_1,308
2024-01-02 16:00:00,Sensor_1,530
2024-01-02 17:00:00,Sensor_1,582
2024-01-02 18:00:00,Sensor_1,434
2024-01-02 19:00:00,Sensor_1,112
2024-01-02 20:00:00,Sensor_1,135
2024-01-02 21:00:00,Sensor_1,46
2024-01-02 22:00:00,Sensor_1,105
2024-01-02 23:00:00,Sensor_1,0
2024-01-03 00:00:00,Sensor_1,119
2024-01-03 01:00:00,Sensor_1,58
2024-01-03 02:00:00,Sensor_1,0
2024-01-03 03:00:00,Sensor_1,0
2024-01-03 04:00:00,Sensor_1,20
2024-01-03 05:00:00,Sensor_1,0
2024-01-03 06:00:00,Sensor_1,24
2024-01-03 07:00:00,Sensor_1,458
2024-01-03 08:00:00,Sensor_1,518
2024-01-03 09:00:00,Sensor_1,544
2024-01-03 10:00:00,Sensor_1,346
2024-01-03 11:00:00,Sensor_1,297
2024-01-03 12:00:00,Sensor_1,340
2024-01-03 13:00:00,Sensor_1,362
2024-01-03 14:00:00,Sensor_1,296
2024-01-03 15:00:00,Sensor_1,261
2024-01-03 16:00:00,Sensor_1,451
2024-01-03 17:00:00,Sensor_1,515
2024-01-03 18:00:00,Sensor_1,555
2024-01-03 19:00:00,Sensor_1,74
2024-01-03 20:00:00,Sensor_1,77
2024-01-03 21:00:00,Sensor_1,89
2024-01-03 22:00:00,Sensor_1,94
2024-01-03 23:00:00,Sensor_1,0
2024-01-04 00:00:00,Sensor_1,0
2024-01-04 01:00:00,Sensor_1,11
2024-01-04 02:00:00,Sensor_1,27
2024-01-04 03:00:00,Sensor_1,73
2024-01-04 04:00:00,Sensor_1,70
2024-01-04 05:00:00,Sensor_1,73
2024-01-04 06:00:00,Sensor_1,0
2024-01-04 07:00:00,Sensor_1,587
2024-01-04 08:00:00,Sensor_1,529
2024-01-04 09:00:00,Sensor_1,518
2024-01-04 10:00:00,Sensor_1,288
2024-01-04 11:00:00,Sensor_1,345
2024-01-04 12:00:00,Sensor_1,284
2024-01-04 13:00:00,Sensor_1,309
2024-01-04 14:00:00,Sensor_1,246
2024-01-04 15:00:00,Sensor_1,306
2024-01-04 16:00:00,Sensor_1,501
2024-01-04 17:00:00,Sensor_1,551
2024-01-04 18:00:00,Sensor_1,575
2024-01-04 19:00:00,Sensor_1,110
2024-01-04 20:00:00,Sensor_1,9
2024-01-04 21:00:00,Sensor_1,0
2024-01-04 22:00:00,Sensor_1,23
2024-01-04 23:00:00,Sensor_1,0
2024-01-05 00:00:00,Sensor_1,56
2024-01-05 01:00:00,Sensor_1,63
2024-01-05 02:00:00,Sensor_1,0
2024-01-05 03:00:00,Sensor_1,80
2024-01-05 04:00:00,Sensor_1,90
2024-01-05 05:00:00,Sensor_1,46
2024-01-05 06:00:00,Sensor_1,13
2024-01-05 07:00:00,Sensor_1,553
2024-01-05 08:00:00,Sensor_1,389
2024-01-05 09:00:00,Sensor_1,505
2024-01-05 10:00:00,Sensor_1,294
2024-01-05 11:00:00,Sensor_1,270
2024-01-05 12:00:00,Sensor_1,312
2024-01-05 13:00:00,Sensor_1,356
2024-01-05 14:00:00,Sensor_1,216
2024-01-05 15:00:00,Sensor_1,401
2024-01-05 16:00:00,Sensor_1,475
2024-01-05 17:00:00,Sensor_1,516
2024-01-05 18:00:00,Sensor_1,483
2024-01-05 19:00:00,Sensor_1,4
2024-01-05 20:00:00,Sensor_1,14
2024-01-05 21:00:00,Sensor_1,75
2024-01-05 22:00:00,Sensor_1,45
2024-01-05 23:00:00,Sensor_1,60
2024-01-06 00:00:00,Sensor_1,89
2024-01-06 01:00:00,Sensor_1,20
2024-01-06 02:00:00,Sensor_1,54
2024-01-06 03:00:00,Sensor_1,0
2024-01-06 04:00:00,Sensor_1,0
2024-01-06 05:00:00,Sensor_1,44
2024-01-06 06:00:00,Sensor_1,36
2024-01-06 07:00:00,Sensor_1,563
2024-01-06 08:00:00,Sensor_1,556
2024-01-06 09:00:00,Sensor_1,463
2024-01-06 10:00:00,Sensor_1,310
2024-01-06 11:00:00,Sensor_1,275
2024-01-06 12:00:00,Sensor_1,276
2024-01-06 13:00:00,Sensor_1,189
2024-01-06 14:00:00,Sensor_1,291
2024-01-06 15:00:00,Sensor_1,289
2024-01-06 16:00:00,Sensor_1,473
2024-01-06 17:00:00,Sensor_1,411
2024-01-06 18:00:00,Sensor_1,566
2024-01-06 19:00:00,Sensor_1,122
2024-01-06 20:00:00,Sensor_1,10
2024-01-06 21:00:00,Sensor_1,0
2024-01-06 22:00:00,Sensor_1,111
2024-01-06 23:00:00,Sensor_1,69
2024-01-07 00:00:00,Sensor_1,21
2024-01-07 01:00:00,Sensor_1,0
2024-01-07 02:00:00,Sensor_1,149
2024-01-07 03:00:00,Sensor_1,23
2024-01-07 04:00:00,Sensor_1,21
